"indicador"|"ccaa"|"n_dias_cirugia"|"capacidad"|"varianza"
cataratas|"14"|248|8667|375.4263908841582
cataratas|"13"|266|61014|10820.258135905802
cataratas|"11"|260|10055|776.4371101871103
cataratas|"10"|290|39598|6143.799021596467
cataratas|"05"|269|7200|299.80688564611893
by_pass_coronario|"04"|186|269|0.49709386806161004
by_pass_coronario|"11"|108|130|0.21979923849082728
by_pass_coronario|"13"|334|884|2.535469601337865
by_pass_coronario|"02"|123|162|0.3330667732906838
by_pass_coronario|"17"|48|54|0.11170212765957446
by_pass_coronario|"16"|154|204|0.3906289788642729
by_pass_coronario|"01"|309|734|2.1443281637456395
by_pass_coronario|"08"|1|1|
by_pass_coronario|"06"|46|49|0.06231884057971016
by_pass_coronario|"15"|78|91|0.16666666666666669
by_pass_coronario|"05"|175|242|0.37556650246305423
by_pass_coronario|"10"|298|700|1.7969855151063205
by_pass_coronario|"14"|140|180|0.2487153134635149
